experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,17,k_proj,attn,model.layers.17.self_attn.k_proj.weight,393216,9252,383964,0.976470947265625,9252,383964,0.976470947265625
adamw_bf16,AdamW + BF16,17,o_proj,attn,model.layers.17.self_attn.o_proj.weight,2359296,55437,2303859,0.9765027364095052,55437,2303859,0.9765027364095052
adamw_bf16,AdamW + BF16,17,q_proj,attn,model.layers.17.self_attn.q_proj.weight,2359296,54636,2304660,0.9768422444661459,54636,2304660,0.9768422444661459
adamw_bf16,AdamW + BF16,17,v_proj,attn,model.layers.17.self_attn.v_proj.weight,393216,8635,384581,0.9780400594075521,8635,384581,0.9780400594075521
adamw_bf16,AdamW + BF16,18,down_proj,mlp,model.layers.18.mlp.down_proj.weight,13762560,290132,13472428,0.9789187476748512,290132,13472428,0.9789187476748512
adamw_bf16,AdamW + BF16,18,gate_proj,mlp,model.layers.18.mlp.gate_proj.weight,13762560,265632,13496928,0.9806989397321428,265632,13496928,0.9806989397321428
adamw_bf16,AdamW + BF16,18,up_proj,mlp,model.layers.18.mlp.up_proj.weight,13762560,275838,13486722,0.9799573625837054,275838,13486722,0.9799573625837054
adamw_bf16,AdamW + BF16,18,k_proj,attn,model.layers.18.self_attn.k_proj.weight,393216,7806,385410,0.9801483154296875,7806,385410,0.9801483154296875
adamw_bf16,AdamW + BF16,18,o_proj,attn,model.layers.18.self_attn.o_proj.weight,2359296,56330,2302966,0.9761242336697049,56330,2302966,0.9761242336697049
adamw_bf16,AdamW + BF16,18,q_proj,attn,model.layers.18.self_attn.q_proj.weight,2359296,50058,2309238,0.9787826538085938,50058,2309238,0.9787826538085938
adamw_bf16,AdamW + BF16,18,v_proj,attn,model.layers.18.self_attn.v_proj.weight,393216,11270,381946,0.9713389078776041,11270,381946,0.9713389078776041
adamw_bf16,AdamW + BF16,19,down_proj,mlp,model.layers.19.mlp.down_proj.weight,13762560,285454,13477106,0.9792586553664434,285454,13477106,0.9792586553664434
adamw_bf16,AdamW + BF16,19,gate_proj,mlp,model.layers.19.mlp.gate_proj.weight,13762560,264095,13498465,0.9808106195359003,264095,13498465,0.9808106195359003
adamw_bf16,AdamW + BF16,19,up_proj,mlp,model.layers.19.mlp.up_proj.weight,13762560,270223,13492337,0.9803653535388764,270223,13492337,0.9803653535388764
adamw_bf16,AdamW + BF16,19,k_proj,attn,model.layers.19.self_attn.k_proj.weight,393216,8139,385077,0.9793014526367188,8139,385077,0.9793014526367188
adamw_bf16,AdamW + BF16,19,o_proj,attn,model.layers.19.self_attn.o_proj.weight,2359296,49072,2310224,0.9792005750868056,49072,2310224,0.9792005750868056
adamw_bf16,AdamW + BF16,19,q_proj,attn,model.layers.19.self_attn.q_proj.weight,2359296,52162,2307134,0.977890862358941,52162,2307134,0.977890862358941
adamw_bf16,AdamW + BF16,19,v_proj,attn,model.layers.19.self_attn.v_proj.weight,393216,7357,385859,0.9812901814778646,7357,385859,0.9812901814778646
adamw_bf16,AdamW + BF16,2,down_proj,mlp,model.layers.2.mlp.down_proj.weight,13762560,289916,13472644,0.9789344424293155,289916,13472644,0.9789344424293155
adamw_bf16,AdamW + BF16,2,gate_proj,mlp,model.layers.2.mlp.gate_proj.weight,13762560,241929,13520631,0.9824212210518973,241929,13520631,0.9824212210518973
adamw_bf16,AdamW + BF16,2,up_proj,mlp,model.layers.2.mlp.up_proj.weight,13762560,287365,13475195,0.9791198003859747,287365,13475195,0.9791198003859747
adamw_bf16,AdamW + BF16,2,k_proj,attn,model.layers.2.self_attn.k_proj.weight,393216,5554,387662,0.9858754475911459,5554,387662,0.9858754475911459
adamw_bf16,AdamW + BF16,2,o_proj,attn,model.layers.2.self_attn.o_proj.weight,2359296,55317,2303979,0.9765535990397135,55317,2303979,0.9765535990397135
adamw_bf16,AdamW + BF16,2,q_proj,attn,model.layers.2.self_attn.q_proj.weight,2359296,42840,2316456,0.981842041015625,42840,2316456,0.981842041015625
adamw_bf16,AdamW + BF16,2,v_proj,attn,model.layers.2.self_attn.v_proj.weight,393216,11565,381651,0.9705886840820312,11565,381651,0.9705886840820312
adamw_bf16,AdamW + BF16,20,down_proj,mlp,model.layers.20.mlp.down_proj.weight,13762560,285945,13476615,0.9792229788643974,285945,13476615,0.9792229788643974
adamw_bf16,AdamW + BF16,20,gate_proj,mlp,model.layers.20.mlp.gate_proj.weight,13762560,268915,13493645,0.9804603939964658,268915,13493645,0.9804603939964658
adamw_bf16,AdamW + BF16,20,up_proj,mlp,model.layers.20.mlp.up_proj.weight,13762560,269602,13492958,0.9804104759579613,269602,13492958,0.9804104759579613
adamw_bf16,AdamW + BF16,20,k_proj,attn,model.layers.20.self_attn.k_proj.weight,393216,8272,384944,0.9789632161458334,8272,384944,0.9789632161458334
adamw_bf16,AdamW + BF16,20,o_proj,attn,model.layers.20.self_attn.o_proj.weight,2359296,50686,2308610,0.9785164727105035,50686,2308610,0.9785164727105035
adamw_bf16,AdamW + BF16,20,q_proj,attn,model.layers.20.self_attn.q_proj.weight,2359296,52244,2307052,0.9778561062282987,52244,2307052,0.9778561062282987
adamw_bf16,AdamW + BF16,20,v_proj,attn,model.layers.20.self_attn.v_proj.weight,393216,7085,386131,0.9819819132486979,7085,386131,0.9819819132486979
adamw_bf16,AdamW + BF16,21,down_proj,mlp,model.layers.21.mlp.down_proj.weight,13762560,292502,13470058,0.9787465413411458,292502,13470058,0.9787465413411458
adamw_bf16,AdamW + BF16,21,gate_proj,mlp,model.layers.21.mlp.gate_proj.weight,13762560,259689,13502871,0.9811307634626116,259689,13502871,0.9811307634626116
